,question,answer
0,7 ・ 7 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。  お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
1,( 自治体 ) は どこ に 相談 すれ ば いい です か ?,LGBT と は セクシャル・マイノリティ 、 性的 少数 者 を 表す 総称 です 。 L ( レズビアン ) は 同性 を 好き に なる 女性 G ( ゲイ ) は 同性 を 好き に なる 男性 B ( バイセクシュアル ) は 性別 に かかわら ず 恋愛 対象 に なる 人 T ( トランスジェンダー ) は 身体 的 な 性別 と 自認 する 性 が 一致 し ない ( 性 別 違和 ) 人 。 性 同一 性 障害 の 人 が 含ま れ ます 。 性 分化 疾患 ( DSD ) など も あり 、 実は から だ の 性 も 単純 に は 二 分 でき ませ ん 。 SOGI ( ソギ ) と 略さ れる 場合 が 増え て い ます 。 SO = Sexual Orientation ( 性 的 指向 ) GI = Gender Identity ( 性 自認 )
2,どう し たら 早く ね て くれる の でしょ う か ?,保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
3,○ ○ 市 の 病院 について 教え て ください 。,○ ○ 市 に は おもちゃ の 病院 は あり ませ ん 。
4,( 当地 当地 グルメ 等 ) について 教え て ください 。,( ご 当地 グルメ 等 の 説明 を 記載 し て ください 。 )
5,乳児 健 診 の 乳児 乳児 の 実施 場所 を 教え て ください 。,乳児 健 診 の 実施 場所 は 、 3 から 4 か月 健 診 は AAA 保健 相談 所 で 実施 し て い ます 。 6 から 7 か月 健 診 、 9 から 10 か月 健 診 は 契約 医療 機関 にて 実施 し て い ます 。  契約 医療 機関 について は こちら ( 自治体 HP 内 関連 ページ の URL )
6,○ ○ 市 の 禁煙 公園 について 教え て ください 。,○ ○ 市 で は 園内 の 受動 喫煙 防止 対策 として 分煙 環境 を 整備 する ため 、 市立 公園 ○ か所 を 、 禁煙 公園 または 分煙 公園 に 指定 し て い ます 。  禁煙 公園 ・ 分 園 公園 一覧 ( 自治体 HP 内 関連 ページ の URL )
7,児童 扶養 手当 受給 者 へ の 優遇 制度 を 教え て ください 。,"児童 手当 は 所得 制限 の ある 制度 です が 、 所得 制限 を 超え た 世帯 に対して は 、 当面 の 間 、 特例 給付 として 中学校 修了 前 まで の お子さま 一 人 につき 月額 5 , 000 円 が 支給 さ れ ます 。  所得 制限 額 の 詳細 は こちら ( 自治体 HP 内 関連 ページ の URL )  お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )"
8,( アカウント の 発信 内容 ) について 教え て ください 。,( アカウント の 発信 内容 を 記載 し て ください 。 ) 例 「 この アカウント で は 、 お子様 の 年齢 に 合わせ て 健 診 や 予防 接種 の 情報 を 配信 し たり 、 妊婦 の 方 向け の サービス の 情報 や 保育園 の 入園 に関する 情報 、 子ども に関する イベント 情報 等 を 配信 し て い ます 。 また 子育て に関する お 問い合わせ に対する 自動 応答 サービス も 行っ て い ます 。 」
9,アート スクール について 教え て ください 。,( アート スクール について 記載 し て ください 。 ) 例 「 ○ ○ 子育て 支援 センター の アート スクール で は 、 食 ・ もの づくり ・ 体操 ・ 音楽 ・ 写真 など 、 さまざま な 分野 で 活躍 する クリエーター を 講師 に 迎え 、 多彩 な テーマ で 講座 を 開催 し て い ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )」
10,学習 クラブ の 放課後 学習 について 教え て ください 。,( 放課後 学習 クラブ の 説明 を 記載 し て ください 。 )  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
11,ファミリー ・ ファミリー ・ 子育て 支援 センター 等 の 名称 ) と は 何 です か ?,ファミリー ・ サポート ・ センター と は 、 子育て の 援助 が 必要 な 人 ( ファミリー 会員 ) と 子育て の 援助 が できる 人 ( サポート 会員 ) が 登録 し 、 会員 相互 の 子育て 支援 活動 を 行っ て いる ところ です 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
12,ハチ の 習性 について 教え て ください 。,ハチ は 自然 界 で 樹木 に つく ケムシ など を 食べる 益虫 です 。 ハチ は 、 むやみ に 人 を 刺す ため に 生き て いる わけ で は あり ませ ん 。 人 が 巣 に 近づい たり 、 触れ たり する と ハチ は 巣 を 守ろ う として 人 を 刺し ます 。 生活 に 支障 が ない 場所 に ある ハチ の 巣 は 刺激 せ ず 、 静か に 様子 を 見 ましょ う 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
13,ロタウ の ロ べ について 教え て ください 。,"ロタウイルス は 乳幼児 の 胃腸 炎 の 原因 として 上位 を 占め 、 どの お子さま で も 5 歳 まで に 1 回 以上 は かかる 感染 症 です 。 嘔吐 ・ 下痢 が 続き 、 ほとんど の 場合 は 自然 に 回復 し ます が 、 まれ に 脱水 症 で 入院 が 必要 に なっ たり 、 脳炎 など の 重い 合併症 を 引き起こし たり する こと が あり ます 。 ( 助成 が ある 場合 、 助成 内容 を 記載 し て ください 。 例 「 ○ ○ 市 で は 、 市内 在住 の 生後 6 週 から 32 週 まで の お子さま を 対象 として 、 ロタウイルスワクチン 任意 接種 費用 の 一部 助成 を 実施 し て い ます 。 1 回 8 , 500 円 を 上限 として 2 回 まで 助成 を 行い ます 。 」 )  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )"
14,子ども の 予防 接種 について 教え て ください 。,「 定期 予防 接種 」 は 法律 で 区 市町村 が 接種 を 行う こと が 定め られ て いる 予防 接種 の こと で あり 、 それ 以外 の もの は 「 任意 予防 接種 」 です 。 ○ ○ 市 で は 、 定期 予防 接種 を 実施 する とともに 、 一部 の 任意 予防 接種 について 、 助成 制度 を 設け て い ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
15,予防 接種 を 打つ べき 記録 接種 記録 れ て い ませ ん 。,○ ○ 市 で は 市内 に 住民 登録 の ある お子様 へ 予防 接種 す べき 時期 が 近づい たら 予防 接種 記録 票 を お送り し て い ます 。 ただし 、 転入 さ れる 前 に 発送 時期 を 過ぎ て しまっ た 分 について は 自動 発送 は さ れ ませ ん 。 この 場合 、 予防 接種 記録 票 の 中 で 未 接種 分 について は 、 接種 歴 を もと に 不足 分 を お送り し ます ので 、 母子 手帳 等 を ご 用意 の 上 、
16,認可 保育園 の 認可 保育 料 は どこ へ 控除 れ ます か ?,( 休日 保育 等 を 行っ て いる 場合 は 記載 し て ください 。 ) 例 「 休日 保育 制度 と は 、 市内 の 認可 保育園 に 通っ て いる 子ども について 、 保護 者 が 休日 の 就労 など で 保育 を 必要 と する 場合 に 無料 で お 預かり する 制度 です 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )」 < 保育園 > < 場合 > < 私立 > < 認可 > < 市立 > ( 公立 ・ 私立 の 認可 保育園 の 基本 保育 料 について 記載 し て ください 。 ) 例 「 認可 保育園 の 場合 、 基本 保育 料 の 決定 について は 、 市立 ・ 私立 による 違い は あり ませ ん 。 ただし 、 延長 保育 料 に関する こと は 、 市立 と 私立 で 異なり ます 。 」
17,認可 保育園 の 認可 保育園 の 認可 保育園 の 保育 料 は どの よう な 場合 も あり ます か ?,( 公立 ・ 私立 の 認可 保育園 の 基本 保育 料 について 記載 し て ください 。 ) 例 「 認可 保育園 の 場合 、 基本 保育 料 の 決定 について は 、 市立 ・ 私立 による 違い は あり ませ ん 。 ただし 、 延長 保育 料 に関する こと は 、 市立 と 私立 で 異なり ます 。 」
18,保育 利用 料 軽減 を 受け られる 条件 を 教え て ください 。,( 保育 利用 料 軽減 について 記載 し て ください 。 ) 例 「 保育 利用 料 軽減 を 受け られる 条件 は 、 対象 施設 により 異なり ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )」 < 申請 > < 利用 > < 軽減 > < 書名 > ( 保育 利用 料 軽減 に かかる 申請 書名 ) は 下記 ホームページ から ダウンロード が でき ます 。 PDF を 印刷 し て 記載 し て ください 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
19,認可 保育園 利用 料 軽減 について 教え て ください 。,( 保育 利用 料 軽減 に かかる 申請 書名 ) は 下記 ホームページ から ダウンロード が でき ます 。 PDF を 印刷 し て 記載 し て ください 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
20,( 保育 担当 課 ) の 電話 番号 を 教え て ください 。,( 保育 担当 課 ) の 電話 番号 は こちら を ご 確認 ください 。 ( 自治体 HP 内 関連 ページ の URL )
21,保育園 の 申し込み の 空き を 教え て ください 。,各 保育園 等 の 空き 状況 は ( 時期 (
22,保育園 の 申 診 施設 は どこ です か ?,市 の 保育園 ・ 幼 保 一元化 施設 の 一覧 は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
23,保育園 入 の 申 予約 は 必要 です か ?,( 予約 の 有無 の 説明 を 記載 し て ください 。 ) 例 「 保育園 入園 の 申込 時 の 予約 は 原則 として 必要 あり ませ ん が 、 窓口 の 混雑 を 緩和 する ため に 予約 制 を 一部 導入 し て い ます 。 事前 に 電話 で ご 来 庁 の 日時 を 予約 し て いただく こと で 、 お 申し込み の 際 に お待ち いただく 時間 が 短く なり ます ので 、 ぜひ ご 利用 ください 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )」
24,児童 手当 の 手続き は 転入 し て い ませ ん 。,1 . 転出 さ れる 自治体 に 児童 手当 の 消滅 届 を 提出 2 .○○ 市 に 転入 届 を 提出 3 .( 自治体 の 担当 課 等 の 名称 ) へ 「 児童 手当 ・ 特例 給付 認定 請求 書 」 を 提出  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )  お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
25,児童 扶養 手当 と は どんな 時 に 支給 さ れる です か ?,児童 扶養 手当 と は 、 離婚 による ひとり 親 家庭 など の 生活 の 安定 ・ 自立 促進 に 寄与 する こと により 、 その 家庭 において 養育 さ れ て いる 子ども の 福祉 増進 の ため に 支給 さ れる 手当 です 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
26,児童 扶養 手当 の 第 2 2 子 3 子 子 の 手当 について 教え て ください 。,"児童 扶養 手当 の 第 2 子 、 第 3 子 の 手当 額 は 以下 の とおり です 。 第 2 子 : 全部 支給 の 場合 ... 9 , 990 円 一部 支給 の 場合 ... 9 , 980 ~ 5 , 000 円 を 加算 第 3 子 : 全部 支給 の 場合 ... 5 , 990 円 一部 支給 の 場合 ... 5 , 980 ~ 3 , 000 円 を 加算"
27,婚姻 届 の 申請 手続 を 教え て ください 。,婚姻 届 は 、 夫 に なる 人 ・ 妻 に なる 人 どちら か の 本籍 地 または 所在地 の 市区 町村 役所 ・ 役場 に 届出 し て ください 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
28,病 児 ・ 病 児 利用 料金 助成 の 金額 を 教え て ください 。,"( 病 児 ・ 病後 児 利用 料金 助成 等 の サービス が ある 場合 は 記載 し て ください 。 ) 例 「 病 児 ・ 病後 児 利用 料金 助成 は 、 ベビーシッター など を 利用 し た 初日 から 連続 し た 7 日 以内 の 期間 で 、 実際 に 利用 し た 日 の 利用 に 要し た 費用 について 、 1 時間 につき 1 , 000 円 を 助成 し ます 。 1 日 の 利用 助成 時間 は 10 時間 まで で 、 年間 上限 額 は 、 平成 29 年 4 月 1 日 利用 分 から は 、 1 人 の お子様 につき 100 , 000 円 です 。 (※ 平成 28 年度 利用 分 まで は 上限 50 , 000 円 と なり ます 。 )  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )」"
29,○ 年 ○ 月 入 児 利用 料金 助成 の 結果 を 受け まし た が 、 もう 月 の 助成 は なり ます か ?,○ 年 4 月 入園 申込 の 一 次 募集 の 利用 調整 結果 は ○ 年 ○ 月 ○ 日 (○) を 予定 し て い ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
30,ひとり 親 手当 の 助成 制度 について 教え て ください 。,ひとり 親 家庭 へ の 手当 ・ 助成 として は 、 児童 扶養 手当 、 児童 育成 手当 、 ひとり 親 医療 費 助成 制度 が あり ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
31,妊婦 健 診 の 受 診 票 を 使っ て 妊 医療 機関 を 使っ て 助成 料 は どの よう な 助成 ) の 手続き を 教え て ください 。,県内 の 契約 医療 機関 で この 受診 票 を 使う と 、 一部 の 検査 に 助成 が 受け られ ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
32,市長 の 名前 を 教え て ください 。,現在 の ○ ○ 市長 は ○ ○ ○ ○ です 。 ( 自治体 HP 内 関連 ページ の URL )
33,( 子育て 支援 センター 等 の 名称 ) について 教え て ください 。,( 子育て 支援 センター 等 の 名称 ) で は 、 ( 実施 し て いる 事業 の 内容 等 を 記載 し て ください ) し て い ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
34,昨年 居 する 時 の 私立 幼稚園 の 補助 金 の 申請 手続き を 教え て ください 。,昨年度 と 今年度 で 私立 幼稚園 が 異なる 場合 は 、 新しい 私立 幼稚園 で 改めて 、 補助 金 の 申請 を し て いただき ます 。
35,小学校 の 場所 を 教え て ください 。,○ ○ 小学校 の 住所 は ( 小学校 の 住所 ) です 。 ( 自治体 HP 内 関連 ページ の URL ) 行き方 は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
36,住民 票 は どんな 場所 を 教え て ください 。,保健所 (○○ 市 中央 保健 相談 所 ) は ( 所在 場所 ) に あり ます 。 また 、 その他 の 保健 相談 所 が ( 所在 場所 ) と ( 所在 場所 ) に それぞれ あり ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
37,県 外 の 子ども の 医療 証 の 手続き を 教え て ください 。,受診 票 は ご 利用 いただ
38,子ども の 体重 の 増え が 悪く なっ て い ませ ん 。,ご 心配 です ね 。 お子さん の 成長 について は 、 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
39,( 子ども が 遊 べ る 場所 を 教え て ください 。,子ども の 健 診 について は 健 診 の 種類 に 応じ て 実施 し て いる 場所 が 異なり ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
40,乳 幼 児 ・ 子ども 医療 証 の について 教え て ください 。,乳幼児 の ブラッシング や 、 むし歯 、 かみ合わせ の 相談 について は ( 自治体 の 担当 課 等 の 名称 ) へ お 問い合わせ ください 。  お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
41,通学 する 時 の 学区 について 教え て ください 。,お子さん が 通学 する 学校 は 、 住所 により 以下 の よう に 指定 さ れ て い ます 。 詳しく は こちら を ご覧 ください 。  住所 別 通学 区域 一覧 ( 自治体 HP 内 関連 ページ の URL )
42,母子 手帳 の 他 に 手続き について 教え て ください 。,窓口 で 妊娠 届 を ご 記入 いただき 、 母子 手帳 を お 渡し し ます 。 住民 票 の 世帯 が 別 の 方 が 代理 で 窓口 に 来ら れる 場合 は 、 委任 状 が 必要 に なり ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
43,採用 の 手続き について 教え て ください 。,採用 に関して は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
44,幼 保 一 元 化 施設 の 施設 と は 何 です か ?,幼 保 一元化 施設 と は 、 保育園 と 幼稚園 の 機能 や 特長 を あわせ 持つ 施設 の 総称 です 。 ( 市内 の 幼 保 一元化 施設 の 設置 状況 を 記載 し て ください 。 )
45,児童 手当 の 申請 手続 を 教え て ください 。,児童 手当 は 認定 請求 を し た 月 の 翌月 分 から 支給 さ れ ます 。 * 出生 日 ・ 前 住 地 の 転出 予定 日 の 翌日 から 数え て 15 日 以内 に 申請 する と 、 出生 日 や 転入 等 の 属する 月 の 翌月 分 から 支給 さ れ ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )  お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
46,育成 医療 の 申請 手続 を 教え て ください 。,育成 医療 の 申請 は 保護 者 が 住所 地 の 保健所 に 申請 し ます 。
47,私立 幼稚園 の 補助 金 の 申請 書 に 必要 な 世帯 は 何 です か ?,父 の 住所 が ○ ○ 市外 で あり 世帯 も 分け て いる 場合 、 私立 幼稚園 の 補助 金 の 申請 書 に は 、 父親 も 記入 し て いただき ます 。 また 、 申請 書 の 右 の 欄 に 「 園児 の 父 、 母 で 市外 ( 国外 ) に 住所 が ある 方 は 、 以下 に ご 記入 ください 。 」 へ の ご 記入 を お願い し ます 。
48,赤ちゃん の 成長 止 ま 場所 を 教え て ください 。,ご 心配 です ね 。 赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
49,( 支所 ・ 出張所 、 市民 サービス センター 等 ) の 電話 番号 を 教え て ください 。,( 支所 ・ 出張所 、 市民 サービス センター 等 ) の 電話 番号 は ( 電話 番号 ) です 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
50,○ ○ 市 の 電話 番号 を 教え て ください 。,○ ○ 税務署 の 電話 番号 は 、 ( 電話 番号 ) です 。 ( 当該 税務署 の ホームページ 等 の URL )
51,養子 縁組 の 届出 場所 を 教え て ください 。,養子 縁組 は 届出 によって 法的 に 嫡出 親子 関係 が 成立 し ます 。 養子 縁組 届 に は 成人 の 方 の 証人 が 2 名 必要 な ので 、 あらかじめ 養子 縁組 届 の 用紙 を 取り に 来 て ください 。 自己 または 配偶 者 の 直系 卑属 を 養子 と する 場合 を 除き 、 未成年 者 を 養子 と する 場合 は 家庭 裁判所 の 許可 が 必要 です 。 本籍 の 変動 等 注意 事項 が あり ます ので 用紙 の 受け取り の 際 、 担当 職員 に ご 確認 ください 。 本籍 地 以外 に お 届け に なる 場合 は 戸籍  が 必要 と なり ます 。  お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
